Rank;Movie Title;Studio;Total Gross;Theaters;1st Week Gross;Open;Close
1;Doctor Strange;BV;231004731;3882;85058311;04.11.2016;-
2;Fantastic Beasts and Where To Find Them;WB;229743563;4144;74403387;18.11.2016;-
3;Moana;BV;226934513;3875;56631401;23.11.2016;-
4;Trolls;Fox;151374798;4066;46581142;04.11.2016;-
5;Arrival;Par.;94435328;3115;24074047;11.11.2016;-
6;Hacksaw Ridge;LGF;65176912;2971;15190758;04.11.2016;-
7;Almost Christmas;Uni.;42065185;2379;15134235;11.11.2016;-
8;Allied;Par.;39841595;3160;12701743;23.11.2016;-
9;Manchester by the Sea;RAtt.;34861151;1213;256498;18.11.2016;-
10;Bad Santa 2;BG;17774066;2945;6176680;23.11.2016;-
11;The Edge of Seventeen;STX;14431633;1945;4754215;18.11.2016;05.01.2017
12;Lion;Wein.;10754583;600;123360;25.11.2016;-
13;Nocturnal Animals;Focus;10476727;1262;492648;18.11.2016;-
14;Loving;Focus;7604026;572;159615;04.11.2016;-
15;Shut In;EC;6900335;2058;3613567;11.11.2016;-