Total Year Gross ($ mln):;10,809.6;Total movies;728
#;Month;Total Gross ($ mln);% of Year;Movies;Avg. ($ mln);Avg. Drop*;#1 Movie;Gross ($ mln);% of Total
12;DECEMBER;915.5;10.6;47;24.3;-13.1;Rogue One;423.4;46.2
11;NOVEMBER;964.6;11.2;56;21.5;-50.0;Doctor Strange;231.0;23.9
10;OCTOBER;477.9;4.4;63;7.6;-49.0;The Accountant;86.2;18.0
9;SEPTEMBER;626.1;5.8;88;7.1;-49.3;Sully;125.0;20.0
8;AUGUST;828.7;7.7;66;12.6;-41.0;Suicide Squad;325.1;39.2
7;JULY;987.7;13.8;61;24.5;-50.0;The Secret Life of Pets;338.4;34.3
6;JUNE;917.6;10.9;60;19.6;-57.1;Finding Dory;416.3;45.4
5;MAY;925.6;8.6;52;17.8;-52.6;Captain America 3;408.1;44.1
4;APRIL;694.4;6.4;79;8.8;-50.4;The Jungle Book;364.0;52.4
3;MARCH;882.3;10.1;68;16.1;-50.9;Zootopia;311.3;35.3
2;FEBRUARY;656.5;6.1;46;14.3;-48.8;Deadpool;363.1;55.3
1;JANUARY;488.6;4.5;42;11.6;-49.8;Kung Fu Panda 3;143.5;29.4